category_id,category_level1,category_level2,category_level3
1000021794,ABONNEMENT / SERVICES,CARTE PREPAYEE,CARTE PREPAYEE MULTIMEDIA
1000012764,AMENAGEMENT URBAIN - VOIRIE,AMENAGEMENT URBAIN,ABRI FUMEUR
1000012776,AMENAGEMENT URBAIN - VOIRIE,AMENAGEMENT URBAIN,ABRI VELO - ABRI MOTO
1000012768,AMENAGEMENT URBAIN - VOIRIE,AMENAGEMENT URBAIN,FONTAINE A EAU
1000012755,AMENAGEMENT URBAIN - VOIRIE,SIGNALETIQUE,PANNEAU D'INFORMATION EXTERIEUR
1000012738,AMENAGEMENT URBAIN - VOIRIE,SIGNALISATION ROUTIERE,CONE DE SIGNALISATION - PLOT DE SIGNALISATION
1000012732,AMENAGEMENT URBAIN - VOIRIE,SIGNALISATION ROUTIERE,PANNEAU ROUTIER
1000013163,AMENAGEMENT URBAIN - VOIRIE,SIGNALISATION ROUTIERE,RUBAN DE SIGNALISATION
1000012712,AMENAGEMENT URBAIN - VOIRIE,VOIRIE,BLOC PARKING - ARCEAU PARKING
1000012718,AMENAGEMENT URBAIN - VOIRIE,VOIRIE,POTEAU - POTELET
1000016200,ANIMALERIE,ACCESSOIRE POUR REPAS,ABREUVOIR
1000016202,ANIMALERIE,ACCESSOIRE POUR REPAS,AUGE
1000016204,ANIMALERIE,ACCESSOIRE POUR REPAS,BIBERON
1000016210,ANIMALERIE,ACCESSOIRE POUR REPAS,DISTRIBUTEUR D'ALIMENT
1000021524,ANIMALERIE,ACCESSOIRE POUR REPAS,FONTAINE A EAU
1000016212,ANIMALERIE,ACCESSOIRE POUR REPAS,GAMELLE - ECUELLE - ACCESSOIRE DE GAMELLE - ACCESSOIRE ECUELLE
1000016220,ANIMALERIE,ACCESSOIRE POUR REPAS,KIT ACCESSOIRE POUR REPAS
1000016206,ANIMALERIE,ACCESSOIRE POUR REPAS,MANGEOIRE - TREMIE
1000016214,ANIMALERIE,ACCESSOIRE POUR REPAS,PINCE DE NOURRISSAGE - PELLE DE NOURRISSAGE - CUILLERE DE NOURRISSAGE
1000016216,ANIMALERIE,ACCESSOIRE POUR REPAS,RATELIER
1000016222,ANIMALERIE,ACCESSOIRE POUR REPAS,TRANSPORT DES ALIMENTS - BOITE DE RANGEMENT - POCHETTE A FRIANDISES
1000016226,ANIMALERIE,ALIMENTATION,ALIMENT MINERAL - COQUILLE - SEL A LECHER - PIERRE A RONGER
1000016228,ANIMALERIE,ALIMENTATION,ALIMENT PELLICULE - COMPRIME ALIMENTAIRE
1000016230,ANIMALERIE,ALIMENTATION,BOITE D'ALIMENTATION - PATEE D'ALIMENTATION - NOURRITURE HUMIDE - NOURRITURE MOLLE
1000016232,ANIMALERIE,ALIMENTATION,BOULE DE GRAISSE
1000016234,ANIMALERIE,ALIMENTATION,CROQUETTE - NOURRITURE SECHE
1000016236,ANIMALERIE,ALIMENTATION,EXTRUDE - EN GRANULE
1000016238,ANIMALERIE,ALIMENTATION,FLOCONS - MASH - MUESLI
1000016240,ANIMALERIE,ALIMENTATION,FOIN - FOURRAGE
1000016224,ANIMALERIE,ALIMENTATION,FRIANDISE
1000016242,ANIMALERIE,ALIMENTATION,GRAINES
1000016244,ANIMALERIE,ALIMENTATION,HERBE A MANGER - HERBE A CHAT
1000016248,ANIMALERIE,ALIMENTATION,KIT ALIMENTATION ANIMAL
1000016246,ANIMALERIE,ALIMENTATION,LAIT MATERNISE - BOISSON MATERNISEE
1000016250,ANIMALERIE,AMENAGEMENT TECHNIQUE DE L'HABITAT,CHATIERE - PORTE POUR CHAT - TRAPPE CHAT
1000016256,ANIMALERIE,AMENAGEMENT TECHNIQUE DE L'HABITAT,CHAUFFAGE
1000016258,ANIMALERIE,AMENAGEMENT TECHNIQUE DE L'HABITAT,ECLAIRAGE
